date,run_time
10/2/2018 0:00,82.7
10/3/2018 0:00,83.5
10/4/2018 0:00,83.9
10/5/2018 0:00,87.8
10/6/2018 0:00,83.8
10/7/2018 0:00,84.3
10/9/2018 0:00,83.9
10/10/2018 0:00,86.1
10/11/2018 0:00,83.5
10/12/2018 0:00,83.6
10/13/2018 0:00,86.3
10/14/2018 0:00,83.3
10/15/2018 0:00,93.7
10/16/2018 0:00,82.8
10/17/2018 0:00,83.4
10/18/2018 0:00,83
10/19/2018 0:00,82.1
10/20/2018 0:00,82.4
10/21/2018 0:00,82.8
10/22/2018 0:00,82.6
10/23/2018 0:00,82.1
10/24/2018 0:00,81.8
10/25/2018 0:00,84.5
10/26/2018 0:00,81.9
10/27/2018 0:00,83
10/28/2018 0:00,82.6
10/29/2018 0:00,83
10/30/2018 0:00,83.9
10/31/2018 0:00,84.4
11/1/2018 0:00,84.4
11/2/2018 0:00,82.4
11/3/2018 0:00,82.8
11/4/2018 0:00,83
11/5/2018 0:00,83.1
11/6/2018 0:00,83.1
11/7/2018 0:00,82.3
